problem,solver,phi,eps,n_evals,seed,cardinality,n_columns,file
dtlz2_interval,random_search,cw,0.05,5000,11,1702,6,raw/dtlz2_interval_random_search_cw_0.05_5000.npz
dtlz2_interval,random_search,cw,0.05,5000,12,1857,6,raw/dtlz2_interval_random_search_cw_0.05_5000.npz
dtlz2_interval,random_search,cw,0.05,5000,13,1838,6,raw/dtlz2_interval_random_search_cw_0.05_5000.npz
dtlz2_interval,random_search,cw,0.05,5000,14,1743,6,raw/dtlz2_interval_random_search_cw_0.05_5000.npz
dtlz2_interval,random_search,cw,0.05,5000,15,1813,6,raw/dtlz2_interval_random_search_cw_0.05_5000.npz
dtlz2_interval,random_search,cw,0.1,5000,11,1702,6,raw/dtlz2_interval_random_search_cw_0.1_5000.npz
dtlz2_interval,random_search,cw,0.1,5000,12,1857,6,raw/dtlz2_interval_random_search_cw_0.1_5000.npz
dtlz2_interval,random_search,cw,0.1,5000,13,1838,6,raw/dtlz2_interval_random_search_cw_0.1_5000.npz
dtlz2_interval,random_search,cw,0.1,5000,14,1743,6,raw/dtlz2_interval_random_search_cw_0.1_5000.npz
dtlz2_interval,random_search,cw,0.1,5000,15,1813,6,raw/dtlz2_interval_random_search_cw_0.1_5000.npz
dtlz2_interval,random_search,cw,0.1,20000,11,4548,6,raw/dtlz2_interval_random_search_cw_0.1_20000.npz
dtlz2_interval,random_search,cw,0.1,20000,12,4678,6,raw/dtlz2_interval_random_search_cw_0.1_20000.npz
dtlz2_interval,random_search,cw,0.1,20000,13,4563,6,raw/dtlz2_interval_random_search_cw_0.1_20000.npz
dtlz2_interval,random_search,cw,0.1,20000,14,4343,6,raw/dtlz2_interval_random_search_cw_0.1_20000.npz
dtlz2_interval,random_search,cw,0.1,20000,15,4565,6,raw/dtlz2_interval_random_search_cw_0.1_20000.npz
dtlz2_interval,random_search,cw,0.25,5000,11,1702,6,raw/dtlz2_interval_random_search_cw_0.25_5000.npz
dtlz2_interval,random_search,cw,0.25,5000,12,1857,6,raw/dtlz2_interval_random_search_cw_0.25_5000.npz
dtlz2_interval,random_search,cw,0.25,5000,13,1838,6,raw/dtlz2_interval_random_search_cw_0.25_5000.npz
dtlz2_interval,random_search,cw,0.25,5000,14,1743,6,raw/dtlz2_interval_random_search_cw_0.25_5000.npz
dtlz2_interval,random_search,cw,0.25,5000,15,1813,6,raw/dtlz2_interval_random_search_cw_0.25_5000.npz
dtlz2_interval,random_search,cw,0.5,5000,11,1702,6,raw/dtlz2_interval_random_search_cw_0.5_5000.npz
dtlz2_interval,random_search,cw,0.5,5000,12,1857,6,raw/dtlz2_interval_random_search_cw_0.5_5000.npz
dtlz2_interval,random_search,cw,0.5,5000,13,1838,6,raw/dtlz2_interval_random_search_cw_0.5_5000.npz
dtlz2_interval,random_search,cw,0.5,5000,14,1743,6,raw/dtlz2_interval_random_search_cw_0.5_5000.npz
dtlz2_interval,random_search,cw,0.5,5000,15,1813,6,raw/dtlz2_interval_random_search_cw_0.5_5000.npz
dtlz2_interval,random_search,ls,0.0,5000,11,159,6,raw/dtlz2_interval_random_search_ls_0.0_5000.npz
dtlz2_interval,random_search,ls,0.0,5000,12,172,6,raw/dtlz2_interval_random_search_ls_0.0_5000.npz
dtlz2_interval,random_search,ls,0.0,5000,13,150,6,raw/dtlz2_interval_random_search_ls_0.0_5000.npz
dtlz2_interval,random_search,ls,0.0,5000,14,146,6,raw/dtlz2_interval_random_search_ls_0.0_5000.npz
dtlz2_interval,random_search,ls,0.0,5000,15,128,6,raw/dtlz2_interval_random_search_ls_0.0_5000.npz
dtlz2_interval,random_search,ls,0.05,5000,11,1850,6,raw/dtlz2_interval_random_search_ls_0.05_5000.npz
dtlz2_interval,random_search,ls,0.05,5000,12,2013,6,raw/dtlz2_interval_random_search_ls_0.05_5000.npz
dtlz2_interval,random_search,ls,0.05,5000,13,1968,6,raw/dtlz2_interval_random_search_ls_0.05_5000.npz
dtlz2_interval,random_search,ls,0.05,5000,14,1907,6,raw/dtlz2_interval_random_search_ls_0.05_5000.npz
dtlz2_interval,random_search,ls,0.05,5000,15,1954,6,raw/dtlz2_interval_random_search_ls_0.05_5000.npz
dtlz2_interval,random_search,ls,0.1,5000,11,1972,6,raw/dtlz2_interval_random_search_ls_0.1_5000.npz
dtlz2_interval,random_search,ls,0.1,5000,12,2128,6,raw/dtlz2_interval_random_search_ls_0.1_5000.npz
dtlz2_interval,random_search,ls,0.1,5000,13,2084,6,raw/dtlz2_interval_random_search_ls_0.1_5000.npz
dtlz2_interval,random_search,ls,0.1,5000,14,2046,6,raw/dtlz2_interval_random_search_ls_0.1_5000.npz
dtlz2_interval,random_search,ls,0.1,5000,15,2077,6,raw/dtlz2_interval_random_search_ls_0.1_5000.npz
dtlz2_interval,random_search,ls,0.1,20000,11,5539,6,raw/dtlz2_interval_random_search_ls_0.1_20000.npz
dtlz2_interval,random_search,ls,0.1,20000,12,5640,6,raw/dtlz2_interval_random_search_ls_0.1_20000.npz
dtlz2_interval,random_search,ls,0.1,20000,13,5481,6,raw/dtlz2_interval_random_search_ls_0.1_20000.npz
dtlz2_interval,random_search,ls,0.1,20000,14,5344,6,raw/dtlz2_interval_random_search_ls_0.1_20000.npz
dtlz2_interval,random_search,ls,0.1,20000,15,5521,6,raw/dtlz2_interval_random_search_ls_0.1_20000.npz
dtlz2_interval,random_search,ls,0.25,5000,11,2316,6,raw/dtlz2_interval_random_search_ls_0.25_5000.npz
dtlz2_interval,random_search,ls,0.25,5000,12,2469,6,raw/dtlz2_interval_random_search_ls_0.25_5000.npz
dtlz2_interval,random_search,ls,0.25,5000,13,2393,6,raw/dtlz2_interval_random_search_ls_0.25_5000.npz
dtlz2_interval,random_search,ls,0.25,5000,14,2378,6,raw/dtlz2_interval_random_search_ls_0.25_5000.npz
dtlz2_interval,random_search,ls,0.25,5000,15,2380,6,raw/dtlz2_interval_random_search_ls_0.25_5000.npz
