problem,phi_a,phi_b,status,metric,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,value
p0,ls,cw,check,coverage_b_in_a,5000,15,0.01,0.02,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,15,0.01,0.02,2.0,5000,1,0.017996400719856028
p0,ls,cw,check,coverage_a_in_b,5000,15,0.02,0.04,2.0,5000,1,0.0348
p0,ls,cw,check,coverage_b_in_a,5000,15,0.02,0.04,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,15,0.02,0.04,2.0,5000,1,0.03499300139972006
p0,ls,cw,check,coverage_a_in_b,5000,15,0.05,0.1,2.0,5000,1,0.0966
p0,ls,cw,check,coverage_b_in_a,5000,15,0.05,0.1,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,15,0.05,0.1,2.0,5000,1,0.09678064387122576
p0,ls,cw,check,coverage_a_in_b,5000,15,0.1,0.2,2.0,5000,1,0.2056
p0,ls,cw,check,coverage_b_in_a,5000,15,0.1,0.2,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,15,0.1,0.2,2.0,5000,1,0.20575884823035392
p0,ls,cw,check,coverage_a_in_b,5000,15,0.2,0.4,2.0,5000,1,0.403
p0,ls,cw,check,coverage_b_in_a,5000,15,0.2,0.4,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,15,0.2,0.4,2.0,5000,1,0.40311937612477505
p1,lu,ls,check,coverage_a_in_b,5000,11,0.0,0.0,2.8284271247461903,610,2220,1.0
p1,lu,ls,check,coverage_b_in_a,5000,11,0.0,0.0,2.8284271247461903,610,2220,0.2747747747747748
p1,lu,ls,check,overlap,5000,11,0.0,0.0,2.8284271247461903,610,2220,0.43109540636042404
p1,lu,ls,check,coverage_a_in_b,5000,11,0.01,0.028284271247461905,2.8284271247461903,610,2220,1.0
p1,lu,ls,check,coverage_b_in_a,5000,11,0.01,0.028284271247461905,2.8284271247461903,610,2220,0.2918918918918919
p1,lu,ls,check,overlap,5000,11,0.01,0.028284271247461905,2.8284271247461903,610,2220,0.44452296819787984
p1,lu,ls,check,coverage_a_in_b,5000,11,0.02,0.05656854249492381,2.8284271247461903,610,2220,1.0
p1,lu,ls,check,coverage_b_in_a,5000,11,0.02,0.05656854249492381,2.8284271247461903,610,2220,0.3153153153153153
p1,lu,ls,check,overlap,5000,11,0.02,0.05656854249492381,2.8284271247461903,610,2220,0.4628975265017668
p1,lu,ls,check,coverage_a_in_b,5000,11,0.05,0.14142135623730953,2.8284271247461903,610,2220,1.0
p1,lu,ls,check,coverage_b_in_a,5000,11,0.05,0.14142135623730953,2.8284271247461903,610,2220,0.3927927927927928
p1,lu,ls,check,overlap,5000,11,0.05,0.14142135623730953,2.8284271247461903,610,2220,0.5236749116607774
p1,lu,ls,check,coverage_a_in_b,5000,11,0.1,0.28284271247461906,2.8284271247461903,610,2220,1.0
p1,lu,ls,check,coverage_b_in_a,5000,11,0.1,0.28284271247461906,2.8284271247461903,610,2220,0.5099099099099099
p1,lu,ls,check,overlap,5000,11,0.1,0.28284271247461906,2.8284271247461903,610,2220,0.615547703180212
p1,lu,ls,check,coverage_a_in_b,5000,11,0.2,0.5656854249492381,2.8284271247461903,610,2220,1.0
p1,lu,ls,check,coverage_b_in_a,5000,11,0.2,0.5656854249492381,2.8284271247461903,610,2220,0.7536036036036036
