problem,phi,solver,metric,n_evals,seed,cardinality,reference_size,include_singular_segments,value
p1,ls,mopso,igd,20000,11,200,1000,False,0.10072328110702292
p1,ls,mopso,igd,20000,11,200,1000,True,0.10196351826736416
p1,ls,mopso,spread,20000,12,200,0,False,5.190771251855351
p1,ls,mopso,hypervolume,20000,12,200,0,False,20.38086117703335
p1,ls,mopso,igd,20000,12,200,1000,False,0.09494948250090907
p1,ls,mopso,igd,20000,12,200,1000,True,0.09626959432798989
p1,ls,mopso,spread,20000,13,200,0,False,4.9622934545528326
p1,ls,mopso,hypervolume,20000,13,200,0,False,20.387908109354722
p1,ls,mopso,igd,20000,13,200,1000,False,0.09460717003178966
p1,ls,mopso,igd,20000,13,200,1000,True,0.09638959724960332
p1,ls,mopso,spread,20000,14,200,0,False,5.1501174862975985
p1,ls,mopso,hypervolume,20000,14,200,0,False,20.38842417104069
p1,ls,mopso,igd,20000,14,200,1000,False,0.09656593476071322
p1,ls,mopso,igd,20000,14,200,1000,True,0.09940750757974916
p1,ls,mopso,spread,20000,15,200,0,False,4.488767911844738
p1,ls,mopso,hypervolume,20000,15,200,0,False,20.340286614303842
p1,ls,mopso,igd,20000,15,200,1000,False,0.09820871324317527
p1,ls,mopso,igd,20000,15,200,1000,True,0.09991151672385916
p1,cw,random_search,spread,5000,11,1544,0,False,3.0897649376192655
p1,cw,random_search,hypervolume,5000,11,1544,0,False,4.107684999351594
p1,cw,random_search,igd,5000,11,1544,1000,False,0.020559327136371642
p1,cw,random_search,igd,5000,11,1544,1000,True,0.02072196397430161
p1,cw,random_search,spread,5000,12,1528,0,False,3.710962205529856
p1,cw,random_search,hypervolume,5000,12,1528,0,False,4.108394776000053
p1,cw,random_search,igd,5000,12,1528,1000,False,0.021072199610240643
p1,cw,random_search,igd,5000,12,1528,1000,True,0.021219394115778212
p1,cw,random_search,spread,5000,13,1591,0,False,3.451788584575018
p1,cw,random_search,hypervolume,5000,13,1591,0,False,4.108254865819563
p1,cw,random_search,igd,5000,13,1591,1000,False,0.020123852437213693
p1,cw,random_search,igd,5000,13,1591,1000,True,0.020346645808805408
p1,cw,random_search,spread,5000,14,1501,0,False,3.66392565135302
p1,cw,random_search,hypervolume,5000,14,1501,0,False,4.1078932524964
p1,cw,random_search,igd,5000,14,1501,1000,False,0.020972285643541727
p1,cw,random_search,igd,5000,14,1501,1000,True,0.021338174126564215
p1,cw,random_search,spread,5000,15,1504,0,False,3.8776633115514065
p1,cw,random_search,hypervolume,5000,15,1504,0,False,4.10785185966738
p1,cw,random_search,igd,5000,15,1504,1000,False,0.021392094947474728
p1,cw,random_search,igd,5000,15,1504,1000,True,0.021434581386986076
p1,cw,random_search,spread,20000,11,5726,0,False,3.5442753800118663
p1,cw,random_search,hypervolume,20000,11,5726,0,False,4.115379717675027
p1,cw,random_search,igd,20000,11,5726,1000,False,0.01063355046664089
p1,cw,random_search,igd,20000,11,5726,1000,True,0.010825394876232334
p1,cw,random_search,spread,20000,12,5742,0,False,3.758753488694838
p1,cw,random_search,hypervolume,20000,12,5742,0,False,4.1155297550749195
p1,cw,random_search,igd,20000,12,5742,1000,False,0.010532839735608302
p1,cw,random_search,igd,20000,12,5742,1000,True,0.01067652834796139
p1,cw,random_search,spread,20000,13,5769,0,False,3.179294135405051
p1,cw,random_search,hypervolume,20000,13,5769,0,False,4.115467730580631
p1,cw,random_search,igd,20000,13,5769,1000,False,0.010290146595059547
p1,cw,random_search,igd,20000,13,5769,1000,True,0.010388660112159102
p1,cw,random_search,spread,20000,14,5743,0,False,3.207863525824308
p1,cw,random_search,hypervolume,20000,14,5743,0,False,4.115417927154188
p1,cw,random_search,igd,20000,14,5743,1000,False,0.01058092553359486
p1,cw,random_search,igd,20000,14,5743,1000,True,0.010697532972836071
p1,cw,random_search,spread,20000,15,5723,0,False,3.8467594069964233
p1,cw,random_search,hypervolume,20000,15,5723,0,False,4.115428613263299
p1,cw,random_search,igd,20000,15,5723,1000,False,0.010640404582571674
p1,cw,random_search,igd,20000,15,5723,1000,True,0.010776184493251705
p1,cw,nsga2,spread,5000,11,100,0,False,3.0977867653388147
p1,cw,nsga2,hypervolume,5000,11,100,0,False,4.024243988166584
p1,cw,nsga2,igd,5000,11,100,1000,False,0.10715363427968984
p1,cw,nsga2,igd,5000,11,100,1000,True,0.10668883675119863
p1,cw,nsga2,spread,5000,12,100,0,False,3.013581965601864
p1,cw,nsga2,hypervolume,5000,12,100,0,False,4.021107358222954
p1,cw,nsga2,igd,5000,12,100,1000,False,0.12180815716432603
p1,cw,nsga2,igd,5000,12,100,1000,True,0.11978180690267745
p1,cw,nsga2,spread,5000,13,100,0,False,3.23826320851648
p1,cw,nsga2,hypervolume,5000,13,100,0,False,4.019417894511529
p1,cw,nsga2,igd,5000,13,100,1000,False,0.12267211109549522
p1,cw,nsga2,igd,5000,13,100,1000,True,0.12178028714044839
p1,cw,nsga2,spread,5000,14,100,0,False,3.1236476275148726
p1,cw,nsga2,hypervolume,5000,14,100,0,False,4.001767946470854
p1,cw,nsga2,igd,5000,14,100,1000,False,0.1020345828531771
p1,cw,nsga2,igd,5000,14,100,1000,True,0.10133694340679991
p1,cw,nsga2,spread,5000,15,100,0,False,3.042335334177581
p1,cw,nsga2,hypervolume,5000,15,100,0,False,4.016115210725138
p1,cw,nsga2,igd,5000,15,100,1000,False,0.10946839029684091
p1,cw,nsga2,igd,5000,15,100,1000,True,0.1084807859846662
p1,cw,nsga2,spread,20000,11,100,0,False,3.1094861784481025
p1,cw,nsga2,hypervolume,20000,11,100,0,False,4.026010007245988
p1,cw,nsga2,igd,20000,11,100,1000,False,0.10636305517762079
p1,cw,nsga2,igd,20000,11,100,1000,True,0.10539775674413247
p1,cw,nsga2,spread,20000,12,100,0,False,3.152745045275704
p1,cw,nsga2,hypervolume,20000,12,100,0,False,4.009685913449726
p1,cw,nsga2,igd,20000,12,100,1000,False,0.11888803099249949
p1,cw,nsga2,igd,20000,12,100,1000,True,0.11824129215260215
p1,cw,nsga2,spread,20000,13,100,0,False,3.163304376986084
p1,cw,nsga2,hypervolume,20000,13,100,0,False,4.016378158601688
p1,cw,nsga2,igd,20000,13,100,1000,False,0.12316864789732593
p1,cw,nsga2,igd,20000,13,100,1000,True,0.12286245564096426
p1,cw,nsga2,spread,20000,14,100,0,False,3.038417506676585
p1,cw,nsga2,hypervolume,20000,14,100,0,False,4.010917475124813
p1,cw,nsga2,igd,20000,14,100,1000,False,0.11298616058723578
p1,cw,nsga2,igd,20000,14,100,1000,True,0.1119070379004421
p1,cw,nsga2,spread,20000,15,100,0,False,3.1865443109822214
p1,cw,nsga2,hypervolume,20000,15,100,0,False,4.016581846507299
