measurement,problem,phi,column,free_set_size,constant_column,n_evals,seed,defined,value,tail_share,chance_rate,protected_index
m-1_tail_survival_lift,p0,cw,1,0,False,20000,13,True,666.6666666666666,0.03333333333333333,5e-05,11083
m-2_overhang,p0,cw,1,0,False,20000,13,True,0.0,0.03333333333333333,5e-05,11083
m-1_tail_survival_lift,p0,cw,2,0,False,20000,13,True,666.6666666666666,0.03333333333333333,5e-05,11083
m-2_overhang,p0,cw,2,0,False,20000,13,True,0.0,0.03333333333333333,5e-05,11083
m-1_tail_survival_lift,p0,cw,3,0,False,20000,13,True,666.6666666666666,0.03333333333333333,5e-05,11083
m-2_overhang,p0,cw,3,0,False,20000,13,True,0.0,0.03333333333333333,5e-05,11083
m-1_tail_survival_lift,p0,cw,0,1,True,20000,14,False,,,,
m-2_overhang,p0,cw,0,1,True,20000,14,False,,,,
m-1_tail_survival_lift,p0,cw,1,0,False,20000,14,True,666.6666666666666,0.03333333333333333,5e-05,16930
m-2_overhang,p0,cw,1,0,False,20000,14,True,0.0,0.03333333333333333,5e-05,16930
m-1_tail_survival_lift,p0,cw,2,0,False,20000,14,True,666.6666666666666,0.03333333333333333,5e-05,16930
m-2_overhang,p0,cw,2,0,False,20000,14,True,0.0,0.03333333333333333,5e-05,16930
m-1_tail_survival_lift,p0,cw,3,0,False,20000,14,True,666.6666666666666,0.03333333333333333,5e-05,16930
m-2_overhang,p0,cw,3,0,False,20000,14,True,0.0,0.03333333333333333,5e-05,16930
m-1_tail_survival_lift,p0,cw,0,1,True,20000,15,False,,,,
m-2_overhang,p0,cw,0,1,True,20000,15,False,,,,
m-1_tail_survival_lift,p0,cw,1,0,False,20000,15,True,666.6666666666666,0.03333333333333333,5e-05,16256
m-2_overhang,p0,cw,1,0,False,20000,15,True,0.0,0.03333333333333333,5e-05,16256
m-1_tail_survival_lift,p0,cw,2,0,False,20000,15,True,666.6666666666666,0.03333333333333333,5e-05,16256
m-2_overhang,p0,cw,2,0,False,20000,15,True,0.0,0.03333333333333333,5e-05,16256
m-1_tail_survival_lift,p0,cw,3,0,False,20000,15,True,666.6666666666666,0.03333333333333333,5e-05,16256
m-2_overhang,p0,cw,3,0,False,20000,15,True,0.0,0.03333333333333333,5e-05,16256
m-1_tail_survival_lift,p1,lu,0,0,False,5000,11,True,3.278688524590164,0.4,0.122,2106
m-2_overhang,p1,lu,0,0,False,5000,11,True,0.0,0.4,0.122,2106
m-1_tail_survival_lift,p1,lu,1,0,False,5000,11,True,4.644808743169399,0.5666666666666667,0.122,2971
m-2_overhang,p1,lu,1,0,False,5000,11,True,0.0,0.5666666666666667,0.122,2971
m-1_tail_survival_lift,p1,lu,2,0,False,5000,11,True,2.459016393442623,0.3,0.122,684
m-2_overhang,p1,lu,2,0,False,5000,11,True,0.0,0.3,0.122,684
m-1_tail_survival_lift,p1,lu,3,0,False,5000,11,True,8.19672131147541,1.0,0.122,3757
m-2_overhang,p1,lu,3,0,False,5000,11,True,0.0,1.0,0.122,3757
m-1_tail_survival_lift,p1,lu,0,0,False,5000,12,True,2.947481243301179,0.36666666666666664,0.1244,1854
m-2_overhang,p1,lu,0,0,False,5000,12,True,0.0,0.36666666666666664,0.1244,1854
m-1_tail_survival_lift,p1,lu,1,0,False,5000,12,True,2.947481243301179,0.36666666666666664,0.1244,4402
m-2_overhang,p1,lu,1,0,False,5000,12,True,0.0,0.36666666666666664,0.1244,4402
m-1_tail_survival_lift,p1,lu,2,0,False,5000,12,True,3.2154340836012865,0.4,0.1244,3557
m-2_overhang,p1,lu,2,0,False,5000,12,True,0.0,0.4,0.1244,3557
m-1_tail_survival_lift,p1,lu,3,0,False,5000,12,True,8.038585209003216,1.0,0.1244,2989
m-2_overhang,p1,lu,3,0,False,5000,12,True,0.0,1.0,0.1244,2989
m-1_tail_survival_lift,p1,lu,0,0,False,5000,13,True,4.519774011299435,0.5333333333333333,0.118,349
m-2_overhang,p1,lu,0,0,False,5000,13,True,0.0,0.5333333333333333,0.118,349
m-1_tail_survival_lift,p1,lu,1,0,False,5000,13,True,3.672316384180791,0.43333333333333335,0.118,2366
m-2_overhang,p1,lu,1,0,False,5000,13,True,0.0,0.43333333333333335,0.118,2366
m-1_tail_survival_lift,p1,lu,2,0,False,5000,13,True,2.542372881355932,0.3,0.118,952
m-2_overhang,p1,lu,2,0,False,5000,13,True,0.0,0.3,0.118,952
m-1_tail_survival_lift,p1,lu,3,0,False,5000,13,True,8.474576271186441,1.0,0.118,290
m-2_overhang,p1,lu,3,0,False,5000,13,True,0.0,1.0,0.118,290
m-1_tail_survival_lift,p1,lu,0,0,False,5000,14,True,4.835039817974971,0.5666666666666667,0.1172,64
m-2_overhang,p1,lu,0,0,False,5000,14,True,0.0,0.5666666666666667,0.1172,64
m-1_tail_survival_lift,p1,lu,1,0,False,5000,14,True,2.844141069397042,0.3333333333333333,0.1172,596
m-2_overhang,p1,lu,1,0,False,5000,14,True,0.0,0.3333333333333333,0.1172,596
m-1_tail_survival_lift,p1,lu,2,0,False,5000,14,True,2.5597269624573378,0.3,0.1172,1074
m-2_overhang,p1,lu,2,0,False,5000,14,True,0.0,0.3,0.1172,1074
m-1_tail_survival_lift,p1,lu,3,0,False,5000,14,True,8.532423208191126,1.0,0.1172,621
m-2_overhang,p1,lu,3,0,False,5000,14,True,0.0,1.0,0.1172,621
m-1_tail_survival_lift,p1,lu,0,0,False,5000,15,True,4.660087719298246,0.5666666666666667,0.1216,1631
m-2_overhang,p1,lu,0,0,False,5000,15,True,0.0,0.5666666666666667,0.1216,1631
m-1_tail_survival_lift,p1,lu,1,0,False,5000,15,True,4.385964912280702,0.5333333333333333,0.1216,511
m-2_overhang,p1,lu,1,0,False,5000,15,True,0.0,0.5333333333333333,0.1216,511
m-1_tail_survival_lift,p1,lu,2,0,False,5000,15,True,3.0153508771929824,0.36666666666666664,0.1216,1518
m-2_overhang,p1,lu,2,0,False,5000,15,True,0.0,0.36666666666666664,0.1216,1518
m-1_tail_survival_lift,p1,lu,3,0,False,5000,15,True,8.223684210526315,1.0,0.1216,1665
m-2_overhang,p1,lu,3,0,False,5000,15,True,0.0,1.0,0.1216,1665
m-1_tail_survival_lift,p1,ls,0,0,False,5000,11,True,1.0510510510510511,0.4666666666666667,0.444,2106
m-2_overhang,p1,ls,0,0,False,5000,11,True,0.0,0.4666666666666667,0.444,2106
m-1_tail_survival_lift,p1,ls,1,1,False,5000,11,True,1.951951951951952,0.8666666666666667,0.444,2076
m-2_overhang,p1,ls,1,1,False,5000,11,True,0.0,0.8666666666666667,0.444,2076
m-1_tail_survival_lift,p1,ls,2,0,False,5000,11,True,1.0510510510510511,0.4666666666666667,0.444,684
m-2_overhang,p1,ls,2,0,False,5000,11,True,0.0,0.4666666666666667,0.444,684
m-1_tail_survival_lift,p1,ls,3,1,False,5000,11,True,1.6516516516516515,0.7333333333333333,0.444,621
m-2_overhang,p1,ls,3,1,False,5000,11,True,0.08216813972869197,0.7333333333333333,0.444,621
m-1_tail_survival_lift,p1,ls,0,0,False,5000,12,True,1.035656162154165,0.4666666666666667,0.4506,1854
m-2_overhang,p1,ls,0,0,False,5000,12,True,0.0,0.4666666666666667,0.4506,1854
m-1_tail_survival_lift,p1,ls,1,1,False,5000,12,True,1.5534842432312472,0.7,0.4506,4627
m-2_overhang,p1,ls,1,1,False,5000,12,True,0.05692723165516833,0.7,0.4506,4627
m-1_tail_survival_lift,p1,ls,2,0,False,5000,12,True,1.3315579227696404,0.6,0.4506,3557
m-2_overhang,p1,ls,2,0,False,5000,12,True,0.0,0.6,0.4506,3557
m-1_tail_survival_lift,p1,ls,3,1,False,5000,12,True,1.4055333629235094,0.6333333333333333,0.4506,2744
m-2_overhang,p1,ls,3,1,False,5000,12,True,0.36912851713137496,0.6333333333333333,0.4506,2744
m-1_tail_survival_lift,p1,ls,0,0,False,5000,13,True,1.2559101654846336,0.5666666666666667,0.4512,349
m-2_overhang,p1,ls,0,0,False,5000,13,True,0.0,0.5666666666666667,0.4512,349
m-1_tail_survival_lift,p1,ls,1,1,False,5000,13,True,1.9208037825059103,0.8666666666666667,0.4512,3918
m-2_overhang,p1,ls,1,1,False,5000,13,True,0.15093956056691593,0.8666666666666667,0.4512,3918
m-1_tail_survival_lift,p1,ls,2,0,False,5000,13,True,1.1081560283687943,0.5,0.4512,952
m-2_overhang,p1,ls,2,0,False,5000,13,True,0.0,0.5,0.4512,952
m-1_tail_survival_lift,p1,ls,3,1,False,5000,13,True,1.3297872340425532,0.6,0.4512,1628
m-2_overhang,p1,ls,3,1,False,5000,13,True,0.029342030921972073,0.6,0.4512,1628
