problem,solver,phi,n_evals,seed,cardinality,n_dominating,share_dominating,widest_margin,widest_x_1,widest_x_2
ibk1,mopso,lu,20000,14,157,13,0.08280254777070063,0.2391850399900317,3.2219304165475786,2.130840865476254
ibk1,mopso,lu,20000,15,200,18,0.09,0.26510271023962173,3.062656103524773,2.256126547306898
ibk1,mopso,ls,5000,11,200,11,0.055,0.2509245783233425,2.870006951297225,2.4352853642354244
ibk1,mopso,ls,5000,12,200,11,0.055,0.24682656173207462,2.5777373916435016,2.6468373745613945
ibk1,mopso,ls,5000,13,200,7,0.035,0.23809540381077388,2.831648524426904,2.382660159575712
ibk1,mopso,ls,5000,14,191,19,0.09947643979057591,0.24607298172284153,2.597024127937858,2.6347151358093597
ibk1,mopso,ls,5000,15,200,12,0.06,0.22718123558652992,2.852732467447877,2.3447034463581633
ibk1,mopso,ls,20000,11,200,14,0.07,0.2443785895298458,3.151473568639955,2.1588146598180478
ibk1,mopso,ls,20000,12,187,11,0.058823529411764705,0.26995675427216526,2.8526384256398734,2.42658967006038
ibk1,mopso,ls,20000,13,200,13,0.065,0.24857522025631518,3.181041245852961,2.1641912255159994
ibk1,mopso,ls,20000,14,136,11,0.08088235294117647,0.21706270244101988,2.97949199867188,2.2287023992073953
ibk1,mopso,ls,20000,15,175,10,0.05714285714285714,0.20830467306431322,2.550170128198754,2.5816416997088383
ibk1,mopso,cw,5000,11,200,14,0.07,0.2681298270971415,2.746947111069167,2.514919637374073
ibk1,mopso,cw,5000,12,137,12,0.08759124087591241,0.24297855397487456,2.7263641629211732,2.4832631165332133
ibk1,mopso,cw,5000,13,162,14,0.08641975308641975,0.2655139233441832,3.04746930721923,2.2676649802216398
ibk1,mopso,cw,5000,14,174,12,0.06896551724137931,0.2617485416733638,2.803119788619549,2.4525695455790464
ibk1,mopso,cw,5000,15,128,9,0.0703125,0.25191201974219046,3.15967517420726,2.16675903987165
ibk1,mopso,cw,20000,11,185,10,0.05405405405405406,0.2657164746401872,2.801004231835444,2.4622011771630716
ibk1,mopso,cw,20000,12,200,13,0.065,0.2592430572004174,2.9381815479739535,2.3373614404353074
ibk1,mopso,cw,20000,13,200,12,0.06,0.2655215769029491,2.8623161254116676,2.431326594501253
ibk1,mopso,cw,20000,14,200,16,0.08,0.2596565302899172,3.045744220339202,2.2581960236437046
ibk1,mopso,cw,20000,15,175,11,0.06285714285714286,0.22014440324476947,2.916271954000132,2.2815807170589237
