problem,solver,phi_a,phi_b,status,metric,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,containment_violations,value
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,12,0.05,1.4142135623730951,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,12,0.05,1.4142135623730951,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,12,0.05,1.4142135623730951,28.284271247461902,110,102,,1.0
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,12,0.05,1.4142135623730951,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,12,0.05,1.4142135623730951,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,12,0.05,1.4142135623730951,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,12,0.05,1.4142135623730951,28.284271247461902,143,102,,1.0
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,12,0.1,2.8284271247461903,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,12,0.1,2.8284271247461903,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,overlap,5000,12,0.1,2.8284271247461903,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,12,0.1,2.8284271247461903,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,12,0.1,2.8284271247461903,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,12,0.1,2.8284271247461903,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,12,0.1,2.8284271247461903,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,12,0.1,2.8284271247461903,28.284271247461902,110,102,,1.0
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,12,0.1,2.8284271247461903,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,12,0.1,2.8284271247461903,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,12,0.1,2.8284271247461903,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,12,0.1,2.8284271247461903,28.284271247461902,143,102,,1.0
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,12,0.2,5.656854249492381,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,12,0.2,5.656854249492381,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,overlap,5000,12,0.2,5.656854249492381,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,12,0.2,5.656854249492381,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,12,0.2,5.656854249492381,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,12,0.2,5.656854249492381,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,12,0.2,5.656854249492381,28.284271247461902,110,102,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,12,0.2,5.656854249492381,28.284271247461902,110,102,,1.0
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,12,0.2,5.656854249492381,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,12,0.2,5.656854249492381,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,12,0.2,5.656854249492381,28.284271247461902,143,102,,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,12,0.2,5.656854249492381,28.284271247461902,143,102,,1.0
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,13,0.0,0.0,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,13,0.0,0.0,28.284271247461902,132,160,,0.825
ibk1,random_search,lu,ls,check,overlap,5000,13,0.0,0.0,28.284271247461902,132,160,,0.9041095890410958
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,13,0.0,0.0,28.284271247461902,132,160,,0.825
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,13,0.0,0.0,28.284271247461902,132,122,,0.8409090909090909
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,13,0.0,0.0,28.284271247461902,132,122,,0.9098360655737705
ibk1,random_search,lu,cw,finding,overlap,5000,13,0.0,0.0,28.284271247461902,132,122,,0.8740157480314961
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,13,0.0,0.0,28.284271247461902,132,122,,0.7762237762237763
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,13,0.0,0.0,28.284271247461902,160,122,,0.7625
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,13,0.0,0.0,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,13,0.0,0.0,28.284271247461902,160,122,,0.8652482269503546
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,13,0.0,0.0,28.284271247461902,160,122,,0.7625000000000001
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,13,0.01,0.282842712474619,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,13,0.01,0.282842712474619,28.284271247461902,132,160,,0.95
ibk1,random_search,lu,ls,check,overlap,5000,13,0.01,0.282842712474619,28.284271247461902,132,160,,0.9726027397260274
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,13,0.01,0.282842712474619,28.284271247461902,132,160,,0.9466666666666665
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,13,0.01,0.282842712474619,28.284271247461902,132,122,,0.946969696969697
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,13,0.01,0.282842712474619,28.284271247461902,132,122,,0.9918032786885246
ibk1,random_search,lu,cw,finding,overlap,5000,13,0.01,0.282842712474619,28.284271247461902,132,122,,0.968503937007874
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,13,0.01,0.282842712474619,28.284271247461902,132,122,,0.9389312977099237
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,13,0.01,0.282842712474619,28.284271247461902,160,122,,0.8625
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,13,0.01,0.282842712474619,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,13,0.01,0.282842712474619,28.284271247461902,160,122,,0.9219858156028369
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,13,0.01,0.282842712474619,28.284271247461902,160,122,,0.8552631578947368
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,13,0.02,0.565685424949238,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,13,0.02,0.565685424949238,28.284271247461902,132,160,,0.9875
ibk1,random_search,lu,ls,check,overlap,5000,13,0.02,0.565685424949238,28.284271247461902,132,160,,0.9931506849315068
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,13,0.02,0.565685424949238,28.284271247461902,132,160,,0.9863945578231292
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,13,0.02,0.565685424949238,28.284271247461902,132,122,,0.9848484848484849
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,13,0.02,0.565685424949238,28.284271247461902,132,122,,0.9918032786885246
ibk1,random_search,lu,cw,finding,overlap,5000,13,0.02,0.565685424949238,28.284271247461902,132,122,,0.9881889763779528
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,13,0.02,0.565685424949238,28.284271247461902,132,122,,0.9766536964980546
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,13,0.02,0.565685424949238,28.284271247461902,160,122,,0.94375
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,13,0.02,0.565685424949238,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,13,0.02,0.565685424949238,28.284271247461902,160,122,,0.9680851063829787
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,13,0.02,0.565685424949238,28.284271247461902,160,122,,0.9381443298969072
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,13,0.05,1.4142135623730951,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,13,0.05,1.4142135623730951,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,overlap,5000,13,0.05,1.4142135623730951,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,13,0.05,1.4142135623730951,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,13,0.05,1.4142135623730951,28.284271247461902,132,122,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,13,0.05,1.4142135623730951,28.284271247461902,132,122,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,13,0.05,1.4142135623730951,28.284271247461902,132,122,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,13,0.05,1.4142135623730951,28.284271247461902,132,122,,1.0
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,13,0.05,1.4142135623730951,28.284271247461902,160,122,,1.0
