problem,solver,phi_a,phi_b,status,eps,n_evals,delta,box_scale,n_seeds,dice_median,dice_q1,dice_q3,jaccard_median,jaccard_q1,jaccard_q3
dtlz2_interval,random_search,lu,ls,check,0.5,5000,0.17320508075688773,3.4641016151377544,5,0.5133577789418544,0.497115888830624,0.5190994181634202,0.34531360112755466,0.3307745987438939,0.3505295524427742
dtlz2_interval,random_search_noise_floor,cw,cw,finding,0.0,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,cw,cw,finding,0.05,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,cw,cw,finding,0.1,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,cw,cw,finding,0.1,20000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,cw,cw,finding,0.25,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,cw,cw,finding,0.5,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,ls,ls,finding,0.0,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,ls,ls,finding,0.05,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,ls,ls,finding,0.1,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,ls,ls,finding,0.1,20000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,ls,ls,finding,0.25,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,ls,ls,finding,0.5,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,lu,lu,finding,0.0,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,lu,lu,finding,0.05,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,lu,lu,finding,0.1,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,lu,lu,finding,0.1,20000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,lu,lu,finding,0.25,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
dtlz2_interval,random_search_noise_floor,lu,lu,finding,0.5,5000,0.17320508075688773,3.4641016151377544,5,0.0,0.0,0.0,0.0,0.0,0.0
zdt1_interval,random_search,ls,cw,check,0.0,5000,0.0,5.477225575051661,5,1.0,1.0,1.0,1.0,1.0,1.0
zdt1_interval,random_search,ls,cw,check,0.0,5000,0.2738612787525831,5.477225575051661,5,1.0,1.0,1.0,1.0,1.0,1.0
zdt1_interval,random_search,ls,cw,check,0.05,5000,0.0,5.477225575051661,5,0.9693486590038314,0.967984934086629,0.9712351945854484,0.9405204460966542,0.937956204379562,0.9440789473684209
zdt1_interval,random_search,ls,cw,check,0.05,5000,0.2738612787525831,5.477225575051661,5,0.9693486590038314,0.967984934086629,0.9712351945854484,0.9405204460966542,0.937956204379562,0.9440789473684209
zdt1_interval,random_search,ls,cw,check,0.1,5000,0.0,5.477225575051661,5,0.9519071310116086,0.9396709323583181,0.9529190207156308,0.9082278481012657,0.8862068965517241,0.9100719424460431
zdt1_interval,random_search,ls,cw,check,0.1,5000,0.2738612787525831,5.477225575051661,5,0.9519071310116086,0.9396709323583181,0.9529190207156308,0.9082278481012657,0.8862068965517241,0.9100719424460431
zdt1_interval,random_search,ls,cw,check,0.1,20000,0.0,5.477225575051661,5,0.9298642533936652,0.8993135011441648,0.931958762886598,0.8689217758985202,0.8170478170478169,0.8725868725868726
zdt1_interval,random_search,ls,cw,check,0.1,20000,0.2738612787525831,5.477225575051661,5,0.9298642533936652,0.8993135011441648,0.931958762886598,0.8689217758985202,0.8170478170478169,0.8725868725868726
zdt1_interval,random_search,ls,cw,check,0.25,5000,0.0,5.477225575051661,5,0.8982785602503912,0.8862068965517241,0.9003322259136213,0.8153409090909092,0.7956656346749225,0.8187311178247735
zdt1_interval,random_search,ls,cw,check,0.25,5000,0.2738612787525831,5.477225575051661,5,0.8982785602503912,0.8862068965517241,0.9003322259136213,0.8153409090909092,0.7956656346749225,0.8187311178247735
zdt1_interval,random_search,ls,cw,check,0.5,5000,0.0,5.477225575051661,5,0.8199697428139183,0.8051529790660226,0.8308702791461412,0.6948717948717948,0.6738544474393531,0.7106741573033708
zdt1_interval,random_search,ls,cw,check,0.5,5000,0.2738612787525831,5.477225575051661,5,0.8199697428139183,0.8051529790660226,0.8308702791461412,0.6948717948717948,0.6738544474393531,0.7106741573033708
zdt1_interval,random_search,lu,cw,finding,0.0,5000,0.0,5.477225575051661,5,1.0,1.0,1.0,1.0,1.0,1.0
zdt1_interval,random_search,lu,cw,finding,0.0,5000,0.2738612787525831,5.477225575051661,5,1.0,1.0,1.0,1.0,1.0,1.0
zdt1_interval,random_search,lu,cw,finding,0.05,5000,0.0,5.477225575051661,5,0.15942028985507245,0.12371134020618557,0.1718213058419244,0.08661417322834646,0.06593406593406594,0.09398496240601505
