# metrics table, written by src/reporting.py, subpart d3. two blocks with
# different columns, and the split is the content and not the layout.
# every value is a median with its interquartile range over the seed count in
# the same row, and every row states the evaluation budget and the
# cardinality it was computed at. no cell is one run.

block,objective_space
# hypervolume, igd and spread are computed on the (k, 2m) rows of one
# phi's image. each phi maps the same problem into a different space on a
# different scale, CONTEXT.md section 5 step 5, so these compare solvers
# under one fixed phi and never rank one phi against another; a ratio
# taken across two phi here is a ratio of volumes in two different spaces
# and means nothing. all three move with the cardinality, r-16, which is
# why every row states the one it was computed at.
problem,phi,solver,metric,n_seeds,n_evals,cardinality,reference_size,sampling_mode,include_singular_segments,hv_reference_rule,hv_reference_point,median,q1,q3,iqr
zdt1_interval,cw,mopso,hypervolume,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,0.0037151032735452927,0.003697496204419698,0.0037297053731114426,3.220916869174466e-05
zdt1_interval,cw,mopso,spread,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,2.140266309151081,1.9810194858261858,2.6902821272387083,0.7092626414125225
zdt1_interval,cw,mopso,spread,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,2.800300347148667,2.502325114766514,2.9657981205590196,0.4634730057925056
zdt1_interval,cw,nsga2,hypervolume,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,0.004362857041552225,0.004288889040714079,0.004643497167887168,0.0003546081271730882
zdt1_interval,cw,nsga2,hypervolume,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,0.004483860737907744,0.0044080679569955435,0.004494079874252997,8.601191725745357e-05
zdt1_interval,cw,nsga2,spread,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,1.4975287852856052,1.4621671685595172,1.5772100372087605,0.11504286864924329
zdt1_interval,cw,nsga2,spread,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,2.303887123554319,2.254825948107262,2.6814585495577643,0.4266326014505024
zdt1_interval,cw,random_search,hypervolume,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,0.0030526234438041163,0.002962874501565807,0.0030898796822011274,0.00012700518063532042
zdt1_interval,cw,random_search,hypervolume,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,0.0029409968399155945,0.0029142779848849837,0.0029616519851217776,4.737400023679386e-05
zdt1_interval,cw,random_search,spread,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,3.353337647990823,2.9334277174109986,3.859657203807208,0.9262294863962093
zdt1_interval,cw,random_search,spread,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,3.1873506472666104,3.079893499917014,3.295807499514084,0.21591399959706958
zdt1_interval,ls,mopso,hypervolume,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,0.015947749931825676,0.0159474018411909,0.015997389722001105,4.998788081020389e-05
zdt1_interval,ls,mopso,hypervolume,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,0.015457546591099589,0.015000887789106456,0.015742652000818026,0.0007417642117115691
zdt1_interval,ls,mopso,spread,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,3.924735958727162,3.6203252504150134,4.036950213483938,0.4166249630689247
zdt1_interval,ls,mopso,spread,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,4.371227767443306,4.258701923692225,4.534901331687631,0.27619940799540554
zdt1_interval,ls,nsga2,hypervolume,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,0.018610947660176035,0.01853669265302927,0.01880701710002665,0.00027032444699737895
zdt1_interval,ls,nsga2,hypervolume,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,0.01829441986499034,0.01714966380194964,0.01853827438845234,0.001388610586502699
zdt1_interval,ls,nsga2,spread,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,2.2304508525814883,1.9841315823765038,2.563172175377031,0.5790405930005271
zdt1_interval,ls,nsga2,spread,5,5000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.0972468519014518 0.065 7.206322987109149 0.065,3.753412948833321,3.5547721854952257,3.8488254005673936,0.294053215072168
