problem,phi,solver,metric,eps,n_evals,seed,cardinality,full_cardinality,reference_size,include_singular_segments,value
zdt1_interval,lu,random_search,spread,0.1,20000,13,29,74,0,False,6.066200965911885
zdt1_interval,lu,random_search,hypervolume,0.1,20000,13,29,74,0,False,19.52582398753538
zdt1_interval,lu,random_search,spread,0.1,20000,14,29,60,0,False,6.0271886064020785
zdt1_interval,lu,random_search,hypervolume,0.1,20000,14,29,60,0,False,20.968546397367003
zdt1_interval,lu,random_search,spread,0.1,20000,15,29,59,0,False,5.870115185951642
zdt1_interval,lu,random_search,hypervolume,0.1,20000,15,29,59,0,False,16.67791545313794
zdt1_interval,lu,nsga2,spread,0.1,5000,11,29,100,0,False,4.76544657646872
zdt1_interval,lu,nsga2,hypervolume,0.1,5000,11,29,100,0,False,46.126317573824394
zdt1_interval,lu,nsga2,spread,0.1,5000,12,29,100,0,False,5.676638548563559
zdt1_interval,lu,nsga2,hypervolume,0.1,5000,12,29,100,0,False,46.173530859867405
zdt1_interval,lu,nsga2,spread,0.1,5000,13,29,100,0,False,4.579769414379523
zdt1_interval,lu,nsga2,hypervolume,0.1,5000,13,29,100,0,False,44.46621590856797
zdt1_interval,lu,nsga2,spread,0.1,5000,14,29,100,0,False,4.854684767551232
zdt1_interval,lu,nsga2,hypervolume,0.1,5000,14,29,100,0,False,44.471799015322695
zdt1_interval,lu,nsga2,spread,0.1,5000,15,29,100,0,False,4.433233690659353
zdt1_interval,lu,nsga2,hypervolume,0.1,5000,15,29,100,0,False,45.84220188456777
zdt1_interval,lu,nsga2,spread,0.1,20000,11,29,100,0,False,2.5711721607406908
zdt1_interval,lu,nsga2,hypervolume,0.1,20000,11,29,100,0,False,52.85456111530182
zdt1_interval,lu,nsga2,spread,0.1,20000,12,29,100,0,False,2.632639390312962
zdt1_interval,lu,nsga2,hypervolume,0.1,20000,12,29,100,0,False,53.064332447263
zdt1_interval,lu,nsga2,spread,0.1,20000,13,29,100,0,False,2.3535724051845595
zdt1_interval,lu,nsga2,hypervolume,0.1,20000,13,29,100,0,False,52.778964292751496
zdt1_interval,lu,nsga2,spread,0.1,20000,14,29,100,0,False,2.3219886623453236
zdt1_interval,lu,nsga2,hypervolume,0.1,20000,14,29,100,0,False,52.722289294125055
zdt1_interval,lu,nsga2,spread,0.1,20000,15,29,100,0,False,2.0302963220913566
zdt1_interval,lu,nsga2,hypervolume,0.1,20000,15,29,100,0,False,53.099720336513215
zdt1_interval,lu,mopso,spread,0.1,5000,11,29,195,0,False,5.2241755842510935
zdt1_interval,lu,mopso,hypervolume,0.1,5000,11,29,195,0,False,30.565124858745165
zdt1_interval,lu,mopso,spread,0.1,5000,12,29,200,0,False,6.386652874651665
zdt1_interval,lu,mopso,hypervolume,0.1,5000,12,29,200,0,False,36.43960147177964
zdt1_interval,lu,mopso,spread,0.1,5000,13,29,183,0,False,5.207941312553474
zdt1_interval,lu,mopso,hypervolume,0.1,5000,13,29,183,0,False,32.142554993407344
zdt1_interval,lu,mopso,spread,0.1,5000,14,29,200,0,False,4.342397126531324
zdt1_interval,lu,mopso,hypervolume,0.1,5000,14,29,200,0,False,24.36944879926172
zdt1_interval,lu,mopso,spread,0.1,5000,15,29,200,0,False,4.539722146974502
zdt1_interval,lu,mopso,hypervolume,0.1,5000,15,29,200,0,False,33.98943817412118
zdt1_interval,lu,mopso,spread,0.1,20000,11,29,200,0,False,3.714710413163256
zdt1_interval,lu,mopso,hypervolume,0.1,20000,11,29,200,0,False,38.347204465142084
zdt1_interval,lu,mopso,spread,0.1,20000,12,29,200,0,False,6.236547052016258
zdt1_interval,lu,mopso,hypervolume,0.1,20000,12,29,200,0,False,42.845577359496616
zdt1_interval,lu,mopso,spread,0.1,20000,13,29,200,0,False,4.403847402521475
zdt1_interval,lu,mopso,hypervolume,0.1,20000,13,29,200,0,False,38.82098635516637
zdt1_interval,lu,mopso,spread,0.1,20000,14,29,200,0,False,5.052371487490889
zdt1_interval,lu,mopso,hypervolume,0.1,20000,14,29,200,0,False,36.22477191719049
zdt1_interval,lu,mopso,spread,0.1,20000,15,29,200,0,False,5.34752736522475
zdt1_interval,lu,mopso,hypervolume,0.1,20000,15,29,200,0,False,40.196722688459744
zdt1_interval,ls,random_search,spread,0.1,5000,11,29,316,0,False,3.377896095029851
zdt1_interval,ls,random_search,hypervolume,0.1,5000,11,29,316,0,False,0.013283783539782157
zdt1_interval,ls,random_search,spread,0.1,5000,12,29,290,0,False,3.166012907046971
zdt1_interval,ls,random_search,hypervolume,0.1,5000,12,29,290,0,False,0.012964656126948066
zdt1_interval,ls,random_search,spread,0.1,5000,13,29,290,0,False,3.7884315857523605
zdt1_interval,ls,random_search,hypervolume,0.1,5000,13,29,290,0,False,0.012851715087587175
zdt1_interval,ls,random_search,spread,0.1,5000,14,29,278,0,False,3.9815100315712626
zdt1_interval,ls,random_search,hypervolume,0.1,5000,14,29,278,0,False,0.013682596380919265
zdt1_interval,ls,random_search,spread,0.1,5000,15,29,296,0,False,3.4491280178781905
zdt1_interval,ls,random_search,hypervolume,0.1,5000,15,29,296,0,False,0.012686090371948431
zdt1_interval,ls,random_search,spread,0.1,20000,11,29,518,0,False,3.4706943451488255
zdt1_interval,ls,random_search,hypervolume,0.1,20000,11,29,518,0,False,0.013529538288069175
zdt1_interval,ls,random_search,spread,0.1,20000,12,29,473,0,False,3.6890345954764894
zdt1_interval,ls,random_search,hypervolume,0.1,20000,12,29,473,0,False,0.013257806506547036
zdt1_interval,ls,random_search,spread,0.1,20000,13,29,470,0,False,4.386157571188337
zdt1_interval,ls,random_search,hypervolume,0.1,20000,13,29,470,0,False,0.013725019199030573
zdt1_interval,ls,random_search,spread,0.1,20000,14,29,550,0,False,3.8402131616773056
zdt1_interval,ls,random_search,hypervolume,0.1,20000,14,29,550,0,False,0.013552328464524196
zdt1_interval,ls,random_search,spread,0.1,20000,15,29,481,0,False,3.5357042116029653
zdt1_interval,ls,random_search,hypervolume,0.1,20000,15,29,481,0,False,0.01342214504746347
zdt1_interval,ls,nsga2,spread,0.1,5000,11,29,100,0,False,4.326158141643824
zdt1_interval,ls,nsga2,hypervolume,0.1,5000,11,29,100,0,False,0.01829441986499034
zdt1_interval,ls,nsga2,spread,0.1,5000,12,29,100,0,False,3.753412948833321
zdt1_interval,ls,nsga2,hypervolume,0.1,5000,12,29,100,0,False,0.01853827438845234
zdt1_interval,ls,nsga2,spread,0.1,5000,13,29,100,0,False,3.8488254005673936
zdt1_interval,ls,nsga2,hypervolume,0.1,5000,13,29,100,0,False,0.019291418280657342
zdt1_interval,ls,nsga2,spread,0.1,5000,14,29,100,0,False,3.5547721854952257
zdt1_interval,ls,nsga2,hypervolume,0.1,5000,14,29,100,0,False,0.01714966380194964
zdt1_interval,ls,nsga2,spread,0.1,5000,15,29,100,0,False,3.4809467889133807
zdt1_interval,ls,nsga2,hypervolume,0.1,5000,15,29,100,0,False,0.017039839495151757
zdt1_interval,ls,nsga2,spread,0.1,20000,11,29,100,0,False,1.9841315823765038
zdt1_interval,ls,nsga2,hypervolume,0.1,20000,11,29,100,0,False,0.019505651148278645
zdt1_interval,ls,nsga2,spread,0.1,20000,12,29,100,0,False,1.968394723189289
zdt1_interval,ls,nsga2,hypervolume,0.1,20000,12,29,100,0,False,0.017536883342268363
zdt1_interval,ls,nsga2,spread,0.1,20000,13,29,100,0,False,2.7237663941074155
zdt1_interval,ls,nsga2,hypervolume,0.1,20000,13,29,100,0,False,0.018610947660176035
zdt1_interval,ls,nsga2,spread,0.1,20000,14,29,100,0,False,2.563172175377031
zdt1_interval,ls,nsga2,hypervolume,0.1,20000,14,29,100,0,False,0.01853669265302927
zdt1_interval,ls,nsga2,spread,0.1,20000,15,29,100,0,False,2.2304508525814883
zdt1_interval,ls,nsga2,hypervolume,0.1,20000,15,29,100,0,False,0.01880701710002665
zdt1_interval,ls,mopso,spread,0.1,5000,11,29,200,0,False,4.993667223096605
zdt1_interval,ls,mopso,hypervolume,0.1,5000,11,29,200,0,False,0.015762901248508113
zdt1_interval,ls,mopso,spread,0.1,5000,12,29,200,0,False,3.9899577469313843
zdt1_interval,ls,mopso,hypervolume,0.1,5000,12,29,200,0,False,0.015457546591099589
zdt1_interval,ls,mopso,spread,0.1,5000,13,29,200,0,False,4.371227767443306
zdt1_interval,ls,mopso,hypervolume,0.1,5000,13,29,200,0,False,0.014720392603909178
zdt1_interval,ls,mopso,spread,0.1,5000,14,29,200,0,False,4.534901331687631
zdt1_interval,ls,mopso,hypervolume,0.1,5000,14,29,200,0,False,0.015742652000818026
zdt1_interval,ls,mopso,spread,0.1,5000,15,29,200,0,False,4.258701923692225
zdt1_interval,ls,mopso,hypervolume,0.1,5000,15,29,200,0,False,0.015000887789106456
zdt1_interval,ls,mopso,spread,0.1,20000,11,29,200,0,False,4.881471649965409
zdt1_interval,ls,mopso,hypervolume,0.1,20000,11,29,200,0,False,0.015997389722001105
zdt1_interval,ls,mopso,spread,0.1,20000,12,29,200,0,False,3.6203252504150134
