measurement,structure,problem,phi,eps,column,free_set_size,constant_column,n_evals,seed,defined,value,protected_index
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,23,True,2.735505511919363,1252
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,23,True,3.0970654676374085,960
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,23,True,2.9943761222554706,960
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,23,True,0.0,3268
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,23,True,0.0,3268
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,23,True,2.5593598226960577,1406
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,23,True,2.5593598226960577,1406
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,24,True,3.4248522115602853,381
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,24,True,3.40191889928951,381
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,24,True,3.363490619671456,3748
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,24,True,3.312865969186214,3748
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,24,True,0.0,2786
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,24,True,0.0,2786
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,24,True,3.089305062170862,1016
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,24,True,3.089305062170862,1016
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,25,True,2.91316359597524,2863
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,25,True,2.7931961446907208,2863
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,25,True,3.052709211195147,634
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,25,True,3.052538352764063,634
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,25,True,0.0,2002
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,25,True,0.0,2002
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,25,True,3.2242956890507473,2788
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,25,True,3.2242956890507473,2788
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,26,True,3.1806034302701893,3746
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,26,True,3.178052174109996,3746
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,26,True,3.109198751898485,2642
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,26,True,3.1068830649617785,2642
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,26,True,0.0,96
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,26,True,0.0,96
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,26,True,3.12695762547891,2975
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,26,True,3.12695762547891,2975
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,27,True,3.104644206264423,1873
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,27,True,3.0014836215466456,1873
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,27,True,3.0708710402819617,396
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,27,True,3.0280597662549873,396
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,27,True,0.0,1125
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,27,True,0.0,1125
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,27,True,2.696371244289874,2334
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,27,True,2.696371244289874,2334
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,28,True,3.129253839410145,4023
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,28,True,3.0901927581839135,4023
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,28,True,3.1042329727424534,2088
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,28,True,3.072028114988059,2088
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,28,True,0.0,3182
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,28,True,0.0,3182
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,28,True,2.895253894291507,4876
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,28,True,2.895253894291507,4876
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,29,True,2.8190026263045675,4998
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,29,True,2.760186793275044,4998
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,29,True,3.4391747667030153,2948
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,29,True,3.349284766144753,2948
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,29,True,0.0,2835
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,29,True,0.0,2835
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,29,True,3.15547403252111,3395
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,29,True,3.15547403252111,3395
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,0,28,False,5000,30,True,3.087805641796691,4125
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,0,28,False,5000,30,True,3.0262602437751434,4125
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,1,29,False,5000,30,True,2.9182994893360363,2222
